iter	Passed	Remaining
0	221	221559
1	351	175577
2	476	158366
3	592	147436
4	753	149852
5	878	145494
6	970	137737
7	1069	132602
8	1182	130245
9	1291	127815
10	1401	126036
11	1520	125201
12	1633	124024
13	1734	122149
14	1844	121125
15	1937	119142
16	2057	118954
17	2178	118875
18	2287	118111
19	2435	119343
20	2537	118301
21	2652	117914
22	2755	117069
23	2867	116604
24	2974	116016
25	3087	115664
26	3185	114801
27	3293	114324
28	3386	113404
29	3482	112606
30	3587	112141
31	3692	111707
32	3797	111266
33	3939	111921
34	4039	111385
35	4146	111041
36	4248	110567
37	4343	109971
38	4435	109292
39	4543	109049
40	4647	108708
41	4754	108443
42	4853	108017
43	4961	107800
44	5067	107537
45	5172	107267
46	5304	107552
47	5423	107572
48	5546	107638
49	5659	107524
50	5773	107428
51	5882	107244
52	5989	107014
53	6085	106602
54	6186	106297
55	6305	106295
56	6392	105764
57	6483	105307
58	6585	105039
59	6680	104665
60	6772	104244
61	6861	103802
62	6964	103576
63	7065	103327
64	7169	103128
65	7270	102885
66	7364	102557
67	7462	102279
68	7559	101993
69	7654	101698
70	7735	101215
71	7818	100767
72	7909	100437
73	8002	100138
74	8105	99964
75	8217	99903
76	8320	99741
77	8407	99382
78	8516	99288
79	8616	99091
80	8724	98981
81	8841	98983
82	8957	98964
83	9052	98714
84	9141	98406
85	9243	98242
86	9334	97957
87	9435	97786
88	9546	97718
89	9649	97569
90	9757	97463
91	9865	97367
92	9978	97314
93	10086	97213
94	10193	97103
95	10310	97093
96	10422	97028
97	10535	96968
98	10632	96768
99	10737	96639
100	10840	96489
101	10943	96349
102	11043	96176
103	11140	95975
104	11238	95793
105	11344	95680
106	11442	95496
107	11546	95366
108	11651	95241
109	11778	95300
110	11889	95220
111	12033	95412
112	12139	95287
113	12238	95120
114	12344	94999
115	12455	94921
116	12564	94826
117	12679	94775
118	12814	94867
119	12920	94747
120	13020	94587
121	13133	94519
122	13247	94458
123	13346	94289
124	13432	94026
125	13523	93803
126	13611	93562
127	13701	93340
128	13794	93141
129	13881	92900
130	13970	92671
131	14063	92478
132	14151	92249
133	14254	92124
134	14348	91935
135	14449	91797
136	14536	91568
137	14616	91301
138	14696	91031
139	14787	90838
140	14887	90696
141	14978	90501
142	15072	90330
143	15165	90153
144	15257	89969
145	15348	89777
146	15452	89666
147	15562	89588
148	15666	89477
149	15771	89372
150	15873	89247
151	15977	89139
152	16085	89049
153	16189	88935
154	16293	88824
155	16398	88719
156	16508	88641
157	16617	88558
158	16724	88462
159	16818	88296
160	16928	88219
161	17025	88069
162	17117	87898
163	17203	87694
164	17302	87562
165	17400	87421
166	17491	87246
167	17585	87089
168	17685	86963
169	17786	86841
170	17878	86675
171	17969	86503
172	18080	86431
173	18183	86318
174	18293	86242
175	18400	86147
176	18510	86067
177	18615	85965
178	18717	85848
179	18815	85714
180	18912	85576
181	19022	85497
182	19121	85365
183	19220	85239
184	19305	85049
185	19394	84878
186	19492	84745
187	19591	84619
188	19700	84534
189	19795	84390
190	19894	84264
191	19989	84124
192	20090	84007
193	20188	83875
194	20276	83706
195	20369	83556
196	20475	83460
197	20569	83315
198	20673	83213
199	20767	83071
200	20861	82926
201	20970	82844
202	21066	82709
203	21161	82572
204	21252	82419
205	21363	82344
